User ID,Product ID,Interaction Type,Interaction Timestamp
43,838,Wishlist,2023-03-04 12:11:42
73,391,Wishlist,2023-03-04 12:11:42
57,809,Purchase,2023-03-04 12:11:42
6,841,Purchase,2023-03-04 12:11:42
67,282,Purchase,2023-03-04 12:11:42
18,889,Add to Cart,2023-03-04 12:11:42
79,774,View,2023-03-04 12:11:42
66,674,Add to Cart,2023-03-04 12:11:42
29,287,Add to Cart,2023-03-04 12:11:42
42,492,Add to Cart,2023-03-04 12:11:42
98,201,Wishlist,2023-03-04 12:11:42
42,468,Add to Cart,2023-03-04 12:11:42
89,496,Purchase,2023-03-04 12:11:42
1,292,View,2023-03-04 12:11:42
97,417,View,2023-03-04 12:11:42
12,346,Wishlist,2023-03-04 12:11:42
82,158,View,2023-03-04 12:11:42
32,325,Add to Cart,2023-03-04 12:11:42
11,183,Purchase,2023-03-04 12:11:42
38,537,Wishlist,2023-03-04 12:11:42
41,748,Purchase,2023-03-04 12:11:42
11,265,Wishlist,2023-03-04 12:11:42
46,393,Wishlist,2023-03-04 12:11:42
66,354,Wishlist,2023-03-04 12:11:42
52,751,Wishlist,2023-03-04 12:11:42
29,22,Purchase,2023-03-04 12:11:42
24,802,Add to Cart,2023-03-04 12:11:42
55,450,View,2023-03-04 12:11:42
25,644,Purchase,2023-03-04 12:11:42
20,890,Wishlist,2023-03-04 12:11:42
78,182,Add to Cart,2023-03-04 12:11:42
58,326,Add to Cart,2023-03-04 12:11:42
77,868,Add to Cart,2023-03-04 12:11:42
15,315,Purchase,2023-03-04 12:11:42
54,121,Add to Cart,2023-03-04 12:11:42
88,247,View,2023-03-04 12:11:42
42,285,Add to Cart,2023-03-04 12:11:42
51,760,View,2023-03-04 12:11:42
80,690,View,2023-03-04 12:11:42
38,282,Wishlist,2023-03-04 12:11:42
28,379,View,2023-03-04 12:11:42
73,87,Add to Cart,2023-03-04 12:11:42
31,483,Add to Cart,2023-03-04 12:11:42
61,204,Add to Cart,2023-03-04 12:11:42
62,570,Purchase,2023-03-04 12:11:42
71,787,Purchase,2023-03-04 12:11:42
44,701,Add to Cart,2023-03-04 12:11:42
16,165,View,2023-03-04 12:11:42
12,879,Wishlist,2023-03-04 12:11:42
93,679,Purchase,2023-03-04 12:11:42
23,441,View,2023-03-04 12:11:42
31,726,Add to Cart,2023-03-04 12:11:42
94,957,Purchase,2023-03-04 12:11:42
19,551,Wishlist,2023-03-04 12:11:42
16,783,Purchase,2023-03-04 12:11:42
3,271,Add to Cart,2023-03-04 12:11:42
23,649,Add to Cart,2023-03-04 12:11:42
41,204,Add to Cart,2023-03-04 12:11:42
19,839,View,2023-03-04 12:11:42
58,884,View,2023-03-04 12:11:42
90,877,View,2023-03-04 12:11:42
94,673,View,2023-03-04 12:11:42
25,617,Purchase,2023-03-04 12:11:42
88,479,Wishlist,2023-03-04 12:11:42
86,648,Add to Cart,2023-03-04 12:11:42
0,175,Wishlist,2023-03-04 12:11:42
16,183,Wishlist,2023-03-04 12:11:42
7,626,View,2023-03-04 12:11:42
54,525,Wishlist,2023-03-04 12:11:42
26,558,Add to Cart,2023-03-04 12:11:42
84,655,Add to Cart,2023-03-04 12:11:42
55,243,View,2023-03-04 12:11:42
61,572,Wishlist,2023-03-04 12:11:42
79,787,Add to Cart,2023-03-04 12:11:42
97,702,Wishlist,2023-03-04 12:11:42
29,140,Wishlist,2023-03-04 12:11:42
80,946,Add to Cart,2023-03-04 12:11:42
76,731,Wishlist,2023-03-04 12:11:42
7,155,View,2023-03-04 12:11:42
95,97,Purchase,2023-03-04 12:11:42
94,381,View,2023-03-04 12:11:42
32,413,Add to Cart,2023-03-04 12:11:42
33,565,Purchase,2023-03-04 12:11:42
92,486,Wishlist,2023-03-04 12:11:42
98,308,Wishlist,2023-03-04 12:11:42
50,246,View,2023-03-04 12:11:42
41,198,View,2023-03-04 12:11:42
51,13,Add to Cart,2023-03-04 12:11:42
28,344,Purchase,2023-03-04 12:11:42
8,945,Wishlist,2023-03-04 12:11:42
85,592,View,2023-03-04 12:11:42
4,622,Purchase,2023-03-04 12:11:42
70,326,Add to Cart,2023-03-04 12:11:42
58,134,Wishlist,2023-03-04 12:11:42
52,291,View,2023-03-04 12:11:42
99,17,Wishlist,2023-03-04 12:11:42
21,95,Purchase,2023-03-04 12:11:42
47,36,Wishlist,2023-03-04 12:11:42
38,23,Add to Cart,2023-03-04 12:11:42
43,417,View,2023-03-04 12:11:42
32,769,Wishlist,2023-03-04 12:11:42
65,670,Add to Cart,2023-03-04 12:11:42
52,227,Add to Cart,2023-03-04 12:11:42
69,896,Wishlist,2023-03-04 12:11:42
25,917,Purchase,2023-03-04 12:11:42
98,828,Wishlist,2023-03-04 12:11:42
61,9,Wishlist,2023-03-04 12:11:42
84,546,Add to Cart,2023-03-04 12:11:42
82,510,Add to Cart,2023-03-04 12:11:42
92,22,Purchase,2023-03-04 12:11:42
81,732,Add to Cart,2023-03-04 12:11:42
25,741,Wishlist,2023-03-04 12:11:42
25,112,Wishlist,2023-03-04 12:11:42
20,317,View,2023-03-04 12:11:42
7,103,Purchase,2023-03-04 12:11:42
13,82,View,2023-03-04 12:11:42
90,737,Add to Cart,2023-03-04 12:11:42
61,699,Add to Cart,2023-03-04 12:11:42
79,147,Add to Cart,2023-03-04 12:11:42
61,848,Add to Cart,2023-03-04 12:11:42
11,868,Purchase,2023-03-04 12:11:42
53,616,Purchase,2023-03-04 12:11:42
17,286,Wishlist,2023-03-04 12:11:42
57,616,Purchase,2023-03-04 12:11:42
83,774,View,2023-03-04 12:11:42
2,356,Add to Cart,2023-03-04 12:11:42
91,399,Add to Cart,2023-03-04 12:11:42
82,152,Wishlist,2023-03-04 12:11:42
22,902,Add to Cart,2023-03-04 12:11:42
59,88,Purchase,2023-03-04 12:11:42
12,633,Wishlist,2023-03-04 12:11:42
20,603,Purchase,2023-03-04 12:11:42
39,298,Wishlist,2023-03-04 12:11:42
59,562,Wishlist,2023-03-04 12:11:42
95,961,View,2023-03-04 12:11:42
75,470,Add to Cart,2023-03-04 12:11:42
49,480,Wishlist,2023-03-04 12:11:42
18,874,View,2023-03-04 12:11:42
24,64,Wishlist,2023-03-04 12:11:42
88,62,View,2023-03-04 12:11:42
31,629,Purchase,2023-03-04 12:11:42
15,418,View,2023-03-04 12:11:42
2,375,Wishlist,2023-03-04 12:11:42
7,135,Add to Cart,2023-03-04 12:11:42
3,985,Purchase,2023-03-04 12:11:42
87,707,Add to Cart,2023-03-04 12:11:42
64,440,View,2023-03-04 12:11:42
75,834,Purchase,2023-03-04 12:11:42
59,779,Add to Cart,2023-03-04 12:11:42
36,694,View,2023-03-04 12:11:42
45,947,View,2023-03-04 12:11:42
21,364,View,2023-03-04 12:11:42
13,210,Wishlist,2023-03-04 12:11:42
0,704,Wishlist,2023-03-04 12:11:42
51,737,Add to Cart,2023-03-04 12:11:42
91,938,Add to Cart,2023-03-04 12:11:42
95,116,Purchase,2023-03-04 12:11:42
33,621,Add to Cart,2023-03-04 12:11:42
64,292,Wishlist,2023-03-04 12:11:42
54,64,Add to Cart,2023-03-04 12:11:42
47,837,Add to Cart,2023-03-04 12:11:42
58,499,Purchase,2023-03-04 12:11:42
9,787,View,2023-03-04 12:11:42
28,781,Add to Cart,2023-03-04 12:11:42
16,629,Wishlist,2023-03-04 12:11:42
42,387,View,2023-03-04 12:11:42
61,497,Wishlist,2023-03-04 12:11:42
19,53,Wishlist,2023-03-04 12:11:42
8,360,Purchase,2023-03-04 12:11:42
