Product ID,Product Name,Category,Expiration Date
0,Bush Somerset Collection Bookcase,Furniture,2024-02-12
1,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,2023-05-02
2,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,2024-11-16
3,Bretford CR4500 Series Slim Rectangular Table,Furniture,2024-06-08
4,Eldon Fold 'N Roll Cart System,Office Supplies,2024-01-20
5,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,2024-04-12
6,Newell 322,Office Supplies,2025-03-15
7,Mitel 5320 IP Phone VoIP phone,Technology,2023-06-06
8,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,2024-08-02
9,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,2024-08-28
10,Chromcraft Rectangular Conference Tables,Furniture,2025-02-28
11,Konftel 250 Conference phone - Charcoal black,Technology,2023-06-04
12,Xerox 1967,Office Supplies,2023-11-07
13,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,2024-03-31
14,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,2024-05-18
15,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,2024-10-11
16,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,2024-03-08
17,Fellowes Super Stor/Drawer,Office Supplies,2023-01-29
18,Newell 341,Office Supplies,2023-01-31
19,Cisco SPA 501G IP Phone,Technology,2025-01-15
20,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,2025-07-18
21,Newell 318,Office Supplies,2025-08-12
22,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,2023-04-18
23,"Global Deluxe Stacking Chair, Gray",Furniture,2025-02-13
24,Wilson Jones Active Use Binders,Office Supplies,2023-10-04
25,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,2025-12-20
26,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,2023-12-24
27,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,2024-12-02
28,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,2024-12-24
29,Poly String Tie Envelopes,Office Supplies,2023-11-01
30,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,2023-08-02
31,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,2023-11-13
32,Lumber Crayons,Office Supplies,2023-02-27
33,Easy-staple paper,Office Supplies,2024-01-11
34,GE 30524EE4,Technology,2025-06-01
35,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,2024-05-21
36,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,2025-07-23
37,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,2023-07-08
38,"Global Fabric Manager's Chair, Dark Gray",Furniture,2024-04-21
39,Plantronics HL10 Handset Lifter,Technology,2023-03-23
40,Panasonic Kx-TS550,Technology,2023-06-18
41,"Eldon Base for stackable storage shelf, platinum",Office Supplies,2025-10-31
42,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,2024-10-15
43,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,2025-08-06
44,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,2025-01-04
45,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,2024-11-24
46,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,2023-10-10
47,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,2025-02-06
48,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,2025-12-23
49,Avery 485,Office Supplies,2024-12-02
50,Longer-Life Soft White Bulbs,Furniture,2023-06-16
51,"Global Leather Task Chair, Black",Furniture,2024-10-15
52,Advantus Push Pins,Office Supplies,2023-12-31
53,AT&T CL83451 4-Handset Telephone,Technology,2024-11-21
54,Home/Office Personal File Carts,Office Supplies,2025-11-09
55,Xerox 232,Office Supplies,2025-07-02
56,Novimex Turbo Task Chair,Furniture,2024-12-28
57,"Array Parchment Paper, Assorted Colors",Office Supplies,2023-04-07
58,Plastic Binding Combs,Office Supplies,2024-09-15
59,Prang Dustless Chalk Sticks,Office Supplies,2024-09-10
60,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,2024-10-19
61,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,2024-08-15
62,Xerox 1943,Office Supplies,2025-04-02
63,Luxo Economy Swing Arm Lamp,Furniture,2023-08-22
64,"Global Value Mid-Back Manager's Chair, Gray",Furniture,2024-02-12
65,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,2025-09-14
66,netTALK DUO VoIP Telephone Service,Technology,2025-06-02
67,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,2024-08-19
68,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,2023-09-25
69,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,2023-11-07
70,High-Back Leather Manager's Chair,Furniture,2025-06-25
71,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,2024-06-05
72,Safco Industrial Wire Shelving System,Office Supplies,2023-04-02
73,Economy Binders,Office Supplies,2025-04-19
74,"6"" Cubicle Wall Clock, Black",Furniture,2024-10-18
75,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,2025-04-10
76,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,2025-06-12
77,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,2023-04-07
78,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,2025-11-11
79,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,2024-03-25
80,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,2024-10-08
81,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,2025-10-05
82,Safco Industrial Wire Shelving,Office Supplies,2025-03-26
83,Novimex Swivel Fabric Task Chair,Furniture,2023-03-02
84,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,2023-05-13
85,Avery 511,Office Supplies,2024-03-13
86,Eldon Portable Mobile Manager,Office Supplies,2025-03-03
87,Turquoise Lead Holder with Pocket Clip,Office Supplies,2025-10-03
88,Xerox 1995,Office Supplies,2024-10-01
89,Xerox 1999,Office Supplies,2024-04-28
90,"Seth Thomas 13 1/2"" Wall Clock",Furniture,2023-09-09
91,Ibico Standard Transparent Covers,Office Supplies,2023-10-13
92,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,2024-06-29
93,9-3/4 Diameter Round Wall Clock,Furniture,2025-09-10
94,Trimflex Flexible Post Binders,Office Supplies,2025-02-24
95,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,2025-03-07
96,Avery Personal Creations Heavyweight Cards,Office Supplies,2025-05-18
97,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,2025-09-21
98,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,2025-03-15
99,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,2023-03-03
100,Logitech K350 2.4Ghz Wireless Keyboard,Technology,2023-07-13
101,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,2024-11-05
102,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,2024-05-12
103,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,2025-01-21
104,Speck Products Candyshell Flip Case,Technology,2024-02-29
105,Newell Chalk Holder,Office Supplies,2024-07-12
106,Logitech Gaming G510s - Keyboard,Technology,2025-12-17
107,Magnifier Swing Arm Lamp,Furniture,2023-05-18
108,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,2023-05-12
109,"Avery Durable Plastic 1"" Binders",Office Supplies,2024-10-05
110,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,2025-06-08
111,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,2023-05-31
112,Xerox 1921,Office Supplies,2023-11-11
113,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,2024-03-03
114,Hon Racetrack Conference Tables,Furniture,2025-11-28
115,GBC DocuBind 300 Electric Binding Machine,Office Supplies,2025-03-17
116,Artistic Insta-Plaque,Furniture,2023-04-16
117,"Companion Letter/Legal File, Black",Office Supplies,2024-01-22
118,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,2023-07-21
119,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,2024-04-04
120,Global Deluxe High-Back Manager's Chair,Furniture,2025-05-11
121,Bevis 44 x 96 Conference Tables,Furniture,2024-09-18
122,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,2023-12-05
123,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,2024-07-02
124,"Global Task Chair, Black",Furniture,2025-06-07
125,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,2025-06-05
126,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,2025-01-27
127,Xerox 1916,Office Supplies,2024-05-03
128,Staples,Office Supplies,2024-03-13
129,Xerox 195,Office Supplies,2023-06-28
130,Xerox 1880,Office Supplies,2025-09-28
131,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,2023-01-04
132,Ideal Clamps,Office Supplies,2023-08-04
133,GBC Wire Binding Strips,Office Supplies,2025-11-26
134,Fiskars Softgrip Scissors,Office Supplies,2025-12-29
135,Newell 343,Office Supplies,2023-03-01
136,Convenience Packs of Business Envelopes,Office Supplies,2024-02-13
137,Xerox 1911,Office Supplies,2023-07-10
138,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,2023-08-20
139,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,2024-06-15
140,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,2024-01-18
141,Anker Astro 15000mAh USB Portable Charger,Technology,2024-02-13
142,GBC Prestige Therm-A-Bind Covers,Office Supplies,2023-08-10
143,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,2024-02-10
144,Jabra BIZ 2300 Duo QD Duo Corded Headset,Technology,2024-09-28
145,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,2023-01-18
146,Xerox 1883,Office Supplies,2025-06-07
147,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,2025-01-26
148,Newell 311,Office Supplies,2023-05-27
149,Avery 519,Office Supplies,2024-09-26
150,Avaya 5420 Digital phone,Technology,2025-06-08
151,Xerox 1920,Office Supplies,2025-08-11
152,Lenovo 17-Key USB Numeric Keypad,Technology,2025-02-16
153,Staple envelope,Office Supplies,2025-11-28
154,Wilson Jones International Size A4 Ring Binders,Office Supplies,2025-11-15
155,BIC Brite Liner Highlighters,Office Supplies,2024-04-23
156,Lexmark MX611dhe Monochrome Laser Printer,Technology,2023-08-16
